"publication_id","ai_subfield"
"W3021402147","graph neural networks"
"W2945526235","General AI"
"W2920166258","General AI"
"W3008626511","General AI"
"W3035664258","graph neural networks"
"W2947735999","General AI"
"W2969912247","General AI"
"W4386740800","General AI"
"W2919193235","General AI"
"W4226492624","General AI"
"W2954932437","General AI"
"W2949924544","General AI"
"W3022945404","graph neural networks"
"W2980472839","graph neural networks"
"W3105774298","graph neural networks"
"W2912412749","General AI"
"W4328008037","graph neural networks"
"W3199263016","generative ai"
"W4283315029","graph neural networks"
"W3094550259","computer vision"
"W3094550259","natural language processing"
"W4395669330","General AI"
"W3048631361","General AI"
"W4394857110","General AI"
"W2962843949","explainable ai"
"W3006087551","computer vision"
"W4320733708","General AI"
"W3117178429","graph neural networks"
"W4309908854","General AI"
"W3155886566","graph neural networks"
"W2898302581","General AI"
"W4383218913","General AI"
"W3088611441","General AI"
"W3088578860","graph neural networks"
"W3081261125","General AI"
"W4400988476","General AI"
"W4312090823","General AI"
"W4384154918","natural language processing"
"W4384154918","transformer architecture"
"W4205995027","General AI"
"W2970183009","graph neural networks"
"W2970183009","natural language processing"
"W2923418412","General AI"
"W3045213745","graph neural networks"
"W3048731797","General AI"
"W3098316772","General AI"
"W3006436762","General AI"
"W3036851434","natural language processing"
"W4296032638","General AI"
"W3116239416","graph neural networks"
"W3035431334","graph neural networks"
"W2984844508","General AI"
"W3154435685","General AI"
"W3183572711","graph neural networks"
"W3217748719","General AI"
"W3082436677","graph neural networks"
"W2978927732","graph neural networks"
"W3126138172","graph neural networks"
"W3174686248","graph neural networks"
"W3137147200","General AI"
"W3160381762","graph neural networks"
"W4387379065","generative ai"
"W4378619666","General AI"
"W2970726356","graph neural networks"
"W3217045679","graph neural networks"
"W1698155719","General AI"
"W2914836620","computer vision"
"W2914836620","generative ai"
"W2996510345","General AI"
"W2934843808","explainable ai"
"W2981679558","General AI"
"W3127690492","graph neural networks"
"W3098546160","General AI"
"W2949095042","General AI"
"W3173955760","graph neural networks"
"W3214371729","General AI"
"W3047109430","General AI"
"W3120227884","graph neural networks"
"W3095521706","graph neural networks"
"W3133909080","General AI"
"W4205091644","graph neural networks"
"W2912185124","General AI"
"W3013160799","General AI"
"W3014372673","General AI"
"W3092026988","General AI"
"W3009563704","General AI"
"W2921613140","General AI"
"W3089252064","General AI"
"W4367310920","natural language processing"
"W4367310920","transformer architecture"
"W3020687048","General AI"
"W3082076610","General AI"
"W4311361333","computer vision"
"W4285818445","graph neural networks"
"W2924911266","computer vision"
"W3109834426","General AI"
"W4214598159","computer vision"
"W4214598159","graph neural networks"
"W2996899616","graph neural networks"
"W2993491036","General AI"
"W3022140654","General AI"
"W3047434002","General AI"
"W2902480423","computer vision"
"W4210253752","General AI"
"W3128766876","graph neural networks"
"W3128766876","reinforcement learning"
"W2977368063","General AI"
"W3167575787","generative ai"
"W3167575787","graph neural networks"
"W2963020121","computer vision"
"W3164846705","explainable ai"
"W4401785934","General AI"
"W2995983896","graph neural networks"
"W3048967681","graph neural networks"
"W3019464069","General AI"
"W3086579950","General AI"
"W2919491917","computer vision"
"W2919491917","natural language processing"
"W3176707157","General AI"
"W2929803724","generative ai"
"W2967357336","computer vision"
"W3091862797","graph neural networks"
"W2809216727","computer vision"
"W2809216727","explainable ai"
"W3074741277","General AI"
"W3182763642","graph neural networks"
"W3090363550","General AI"
"W3090789587","computer vision"
"W3090789587","graph neural networks"
"W3020975691","General AI"
"W3036458852","General AI"
"W2970323499","graph neural networks"
"W2970323499","natural language processing"
"W3109340983","General AI"
"W3128384299","General AI"
"W3198628780","graph neural networks"
"W3038342492","graph neural networks"
"W4366091323","neural architecture search"
"W3107324520","General AI"
"W4367173722","General AI"
"W3211830369","graph neural networks"
"W3121831259","General AI"
"W3184858604","General AI"
"W3176181793","graph neural networks"
"W2945594226","General AI"
"W4307847583","graph neural networks"
"W2982441053","computer vision"
"W2982441053","natural language processing"
"W3036985664","General AI"
"W2916238263","computer vision"
"W3113873473","General AI"
"W2966555834","General AI"
"W2945146780","General AI"
"W3017229010","General AI"
"W3001275383","General AI"
"W2953773016","General AI"
"W3124957586","generative ai"
"W4224990248","General AI"
"W2922234936","generative ai"
"W2922234936","natural language processing"
"W3148181069","General AI"
"W4389132751","generative ai"
"W3207200417","General AI"
"W3093718041","General AI"
"W2996806689","General AI"
"W2968734407","graph neural networks"
"W2968734407","transformer architecture"
"W3092363736","General AI"
"W4211154867","General AI"
"W2964194231","General AI"
"W4223962547","computer vision"
"W4224048112","General AI"
"W3089258356","graph neural networks"
"W3003795821","graph neural networks"
"W4206693420","General AI"
"W4221150253","computer vision"
"W4221150253","graph neural networks"
"W3030878622","General AI"
"W3041968715","General AI"
"W2977973695","graph neural networks"
"W4283077289","explainable ai"
"W4307486628","General AI"
"W3156940584","graph neural networks"
"W3179240416","General AI"
"W3025370095","General AI"
"W3001481174","General AI"
"W4200312990","graph neural networks"
"W2980013009","graph neural networks"
"W2990346675","General AI"
"W3217103056","graph neural networks"
"W2977797911","federated learning"
"W4312281374","graph neural networks"
"W2955251621","graph neural networks"
"W2917767525","explainable ai"
"W4251751280","General AI"
"W3173128495","federated learning"
"W2955202322","General AI"
"W2976720228","General AI"
"W2929612105","quantum ml"
"W2986515219","graph neural networks"
"W2986515219","transformer architecture"
"W3199999289","computer vision"
"W3199999289","graph neural networks"
"W3111221273","General AI"
"W3007157104","natural language processing"
"W3014725478","General AI"
"W3032628389","General AI"
