date_key,date,year,quarter,month,month_name,week_of_year,is_conference_season
20190513,2019-05-13,2019,2,5,May,20,True
20190514,2019-05-14,2019,2,5,May,20,True
20190515,2019-05-15,2019,2,5,May,20,True
20190516,2019-05-16,2019,2,5,May,20,True
20190517,2019-05-17,2019,2,5,May,20,True
20190518,2019-05-18,2019,2,5,May,20,True
20190519,2019-05-19,2019,2,5,May,20,True
20190520,2019-05-20,2019,2,5,May,21,True
20190521,2019-05-21,2019,2,5,May,21,True
20190522,2019-05-22,2019,2,5,May,21,True
20190523,2019-05-23,2019,2,5,May,21,True
20190524,2019-05-24,2019,2,5,May,21,True
20190525,2019-05-25,2019,2,5,May,21,True
20190526,2019-05-26,2019,2,5,May,21,True
20190527,2019-05-27,2019,2,5,May,22,True
20190528,2019-05-28,2019,2,5,May,22,True
20190529,2019-05-29,2019,2,5,May,22,True
20190530,2019-05-30,2019,2,5,May,22,True
20190531,2019-05-31,2019,2,5,May,22,True
20190601,2019-06-01,2019,2,6,June,22,True
20190602,2019-06-02,2019,2,6,June,22,True
20190603,2019-06-03,2019,2,6,June,23,True
20190604,2019-06-04,2019,2,6,June,23,True
20190605,2019-06-05,2019,2,6,June,23,True
20190606,2019-06-06,2019,2,6,June,23,True
20190607,2019-06-07,2019,2,6,June,23,True
20190608,2019-06-08,2019,2,6,June,23,True
20190609,2019-06-09,2019,2,6,June,23,True
20190610,2019-06-10,2019,2,6,June,24,True
20190611,2019-06-11,2019,2,6,June,24,True
20190612,2019-06-12,2019,2,6,June,24,True
20190613,2019-06-13,2019,2,6,June,24,True
20190614,2019-06-14,2019,2,6,June,24,True
20190615,2019-06-15,2019,2,6,June,24,True
20190616,2019-06-16,2019,2,6,June,24,True
20190617,2019-06-17,2019,2,6,June,25,True
20190618,2019-06-18,2019,2,6,June,25,True
20190619,2019-06-19,2019,2,6,June,25,True
20190620,2019-06-20,2019,2,6,June,25,True
20190621,2019-06-21,2019,2,6,June,25,True
20190622,2019-06-22,2019,2,6,June,25,True
20190623,2019-06-23,2019,2,6,June,25,True
20190624,2019-06-24,2019,2,6,June,26,True
20190625,2019-06-25,2019,2,6,June,26,True
20190626,2019-06-26,2019,2,6,June,26,True
20190627,2019-06-27,2019,2,6,June,26,True
20190628,2019-06-28,2019,2,6,June,26,True
20190629,2019-06-29,2019,2,6,June,26,True
20190630,2019-06-30,2019,2,6,June,26,True
20190701,2019-07-01,2019,3,7,July,27,False
20190702,2019-07-02,2019,3,7,July,27,False
20190703,2019-07-03,2019,3,7,July,27,False
20190704,2019-07-04,2019,3,7,July,27,False
20190705,2019-07-05,2019,3,7,July,27,False
20190706,2019-07-06,2019,3,7,July,27,False
20190707,2019-07-07,2019,3,7,July,27,False
20190708,2019-07-08,2019,3,7,July,28,False
20190709,2019-07-09,2019,3,7,July,28,False
20190710,2019-07-10,2019,3,7,July,28,False
20190711,2019-07-11,2019,3,7,July,28,False
20190712,2019-07-12,2019,3,7,July,28,False
20190713,2019-07-13,2019,3,7,July,28,False
20190714,2019-07-14,2019,3,7,July,28,False
20190715,2019-07-15,2019,3,7,July,29,False
20190716,2019-07-16,2019,3,7,July,29,False
20190717,2019-07-17,2019,3,7,July,29,False
20190718,2019-07-18,2019,3,7,July,29,False
20190719,2019-07-19,2019,3,7,July,29,False
20190720,2019-07-20,2019,3,7,July,29,False
20190721,2019-07-21,2019,3,7,July,29,False
20190722,2019-07-22,2019,3,7,July,30,False
20190723,2019-07-23,2019,3,7,July,30,False
20190724,2019-07-24,2019,3,7,July,30,False
20190725,2019-07-25,2019,3,7,July,30,False
20190726,2019-07-26,2019,3,7,July,30,False
20190727,2019-07-27,2019,3,7,July,30,False
20190728,2019-07-28,2019,3,7,July,30,False
20190729,2019-07-29,2019,3,7,July,31,False
20190730,2019-07-30,2019,3,7,July,31,False
20190731,2019-07-31,2019,3,7,July,31,False
20190801,2019-08-01,2019,3,8,August,31,False
20190802,2019-08-02,2019,3,8,August,31,False
20190803,2019-08-03,2019,3,8,August,31,False
20190804,2019-08-04,2019,3,8,August,31,False
20190805,2019-08-05,2019,3,8,August,32,False
20190806,2019-08-06,2019,3,8,August,32,False
20190807,2019-08-07,2019,3,8,August,32,False
20190808,2019-08-08,2019,3,8,August,32,False
20190809,2019-08-09,2019,3,8,August,32,False
20190810,2019-08-10,2019,3,8,August,32,False
20190811,2019-08-11,2019,3,8,August,32,False
20190812,2019-08-12,2019,3,8,August,33,False
20190813,2019-08-13,2019,3,8,August,33,False
20190814,2019-08-14,2019,3,8,August,33,False
20190815,2019-08-15,2019,3,8,August,33,False
20190816,2019-08-16,2019,3,8,August,33,False
20190817,2019-08-17,2019,3,8,August,33,False
20190818,2019-08-18,2019,3,8,August,33,False
20190819,2019-08-19,2019,3,8,August,34,False
20190820,2019-08-20,2019,3,8,August,34,False
20190821,2019-08-21,2019,3,8,August,34,False
20190822,2019-08-22,2019,3,8,August,34,False
20190823,2019-08-23,2019,3,8,August,34,False
20190824,2019-08-24,2019,3,8,August,34,False
20190825,2019-08-25,2019,3,8,August,34,False
20190826,2019-08-26,2019,3,8,August,35,False
20190827,2019-08-27,2019,3,8,August,35,False
20190828,2019-08-28,2019,3,8,August,35,False
20190829,2019-08-29,2019,3,8,August,35,False
20190830,2019-08-30,2019,3,8,August,35,False
20190831,2019-08-31,2019,3,8,August,35,False
20190901,2019-09-01,2019,3,9,September,35,True
20190902,2019-09-02,2019,3,9,September,36,True
20190903,2019-09-03,2019,3,9,September,36,True
20190904,2019-09-04,2019,3,9,September,36,True
20190905,2019-09-05,2019,3,9,September,36,True
20190906,2019-09-06,2019,3,9,September,36,True
20190907,2019-09-07,2019,3,9,September,36,True
20190908,2019-09-08,2019,3,9,September,36,True
20190909,2019-09-09,2019,3,9,September,37,True
20190910,2019-09-10,2019,3,9,September,37,True
20190911,2019-09-11,2019,3,9,September,37,True
20190912,2019-09-12,2019,3,9,September,37,True
20190913,2019-09-13,2019,3,9,September,37,True
20190914,2019-09-14,2019,3,9,September,37,True
20190915,2019-09-15,2019,3,9,September,37,True
20190916,2019-09-16,2019,3,9,September,38,True
20190917,2019-09-17,2019,3,9,September,38,True
20190918,2019-09-18,2019,3,9,September,38,True
20190919,2019-09-19,2019,3,9,September,38,True
20190920,2019-09-20,2019,3,9,September,38,True
20190921,2019-09-21,2019,3,9,September,38,True
20190922,2019-09-22,2019,3,9,September,38,True
20190923,2019-09-23,2019,3,9,September,39,True
20190924,2019-09-24,2019,3,9,September,39,True
20190925,2019-09-25,2019,3,9,September,39,True
20190926,2019-09-26,2019,3,9,September,39,True
20190927,2019-09-27,2019,3,9,September,39,True
20190928,2019-09-28,2019,3,9,September,39,True
20190929,2019-09-29,2019,3,9,September,39,True
20190930,2019-09-30,2019,3,9,September,40,True
20191001,2019-10-01,2019,4,10,October,40,True
20191002,2019-10-02,2019,4,10,October,40,True
20191003,2019-10-03,2019,4,10,October,40,True
20191004,2019-10-04,2019,4,10,October,40,True
20191005,2019-10-05,2019,4,10,October,40,True
20191006,2019-10-06,2019,4,10,October,40,True
20191007,2019-10-07,2019,4,10,October,41,True
20191008,2019-10-08,2019,4,10,October,41,True
20191009,2019-10-09,2019,4,10,October,41,True
20191010,2019-10-10,2019,4,10,October,41,True
20191011,2019-10-11,2019,4,10,October,41,True
20191012,2019-10-12,2019,4,10,October,41,True
20191013,2019-10-13,2019,4,10,October,41,True
20191014,2019-10-14,2019,4,10,October,42,True
20191015,2019-10-15,2019,4,10,October,42,True
20191016,2019-10-16,2019,4,10,October,42,True
20191017,2019-10-17,2019,4,10,October,42,True
20191018,2019-10-18,2019,4,10,October,42,True
20191019,2019-10-19,2019,4,10,October,42,True
20191020,2019-10-20,2019,4,10,October,42,True
20191021,2019-10-21,2019,4,10,October,43,True
20191022,2019-10-22,2019,4,10,October,43,True
20191023,2019-10-23,2019,4,10,October,43,True
20191024,2019-10-24,2019,4,10,October,43,True
20191025,2019-10-25,2019,4,10,October,43,True
20191026,2019-10-26,2019,4,10,October,43,True
20191027,2019-10-27,2019,4,10,October,43,True
20191028,2019-10-28,2019,4,10,October,44,True
20191029,2019-10-29,2019,4,10,October,44,True
20191030,2019-10-30,2019,4,10,October,44,True
20191031,2019-10-31,2019,4,10,October,44,True
20191101,2019-11-01,2019,4,11,November,44,True
20191102,2019-11-02,2019,4,11,November,44,True
20191103,2019-11-03,2019,4,11,November,44,True
20191104,2019-11-04,2019,4,11,November,45,True
20191105,2019-11-05,2019,4,11,November,45,True
20191106,2019-11-06,2019,4,11,November,45,True
20191107,2019-11-07,2019,4,11,November,45,True
20191108,2019-11-08,2019,4,11,November,45,True
20191109,2019-11-09,2019,4,11,November,45,True
20191110,2019-11-10,2019,4,11,November,45,True
20191111,2019-11-11,2019,4,11,November,46,True
20191112,2019-11-12,2019,4,11,November,46,True
20191113,2019-11-13,2019,4,11,November,46,True
20191114,2019-11-14,2019,4,11,November,46,True
20191115,2019-11-15,2019,4,11,November,46,True
20191116,2019-11-16,2019,4,11,November,46,True
20191117,2019-11-17,2019,4,11,November,46,True
20191118,2019-11-18,2019,4,11,November,47,True
20191119,2019-11-19,2019,4,11,November,47,True
20191120,2019-11-20,2019,4,11,November,47,True
20191121,2019-11-21,2019,4,11,November,47,True
20191122,2019-11-22,2019,4,11,November,47,True
20191123,2019-11-23,2019,4,11,November,47,True
20191124,2019-11-24,2019,4,11,November,47,True
20191125,2019-11-25,2019,4,11,November,48,True
20191126,2019-11-26,2019,4,11,November,48,True
20191127,2019-11-27,2019,4,11,November,48,True
20191128,2019-11-28,2019,4,11,November,48,True
20191129,2019-11-29,2019,4,11,November,48,True
20191130,2019-11-30,2019,4,11,November,48,True
20191201,2019-12-01,2019,4,12,December,48,True
20191202,2019-12-02,2019,4,12,December,49,True
20191203,2019-12-03,2019,4,12,December,49,True
20191204,2019-12-04,2019,4,12,December,49,True
20191205,2019-12-05,2019,4,12,December,49,True
20191206,2019-12-06,2019,4,12,December,49,True
20191207,2019-12-07,2019,4,12,December,49,True
20191208,2019-12-08,2019,4,12,December,49,True
20191209,2019-12-09,2019,4,12,December,50,True
20191210,2019-12-10,2019,4,12,December,50,True
20191211,2019-12-11,2019,4,12,December,50,True
20191212,2019-12-12,2019,4,12,December,50,True
