"author_id","author_name","orcid","h_index_current","total_citations","total_papers","primary_institution_id","country","years_active","is_prolific","has_institution"
"A2113107116","Zonghan Wu","0000-0003-2702-6393","2","15152","2","","","1","False","False"
"A5004759214","Adam Paszke","0000-0002-7665-4559","11","32087","29","","","10","False","False"
"A5051577117","Connor Shorten","0000-0001-6253-6861","6","12839","14","","","7","False","False"
"A5043696243","Wenqi Fan","0000-0002-4049-1233","26","4172","120","I14243506","HK","24","False","True"
"A5022275632","Chuxu Zhang","0000-0002-8349-7926","28","5145","151","I140172145","US","13","True","True"
"A5059179935","John Jumper","0000-0001-6169-6580","26","72399","57","I4210090411","GB","15","False","True"
"A5083854216","Zonghan Wu","0000-0003-4450-7738","9","4008","20","I75390827","CN","37","False","True"
"A2104973973","Shu Wu","0000-0001-9452-0944","2","198","39","","","1","True","False"
"A5018875253","Justin Johnson","0000-0003-3511-0624","24","19226","75","","","14","False","False"
"A5100636286","Qiang Yang","0000-0001-5059-8360","126","97405","1402","I102345215","CN","38","True","True"
"A5100705489","Thin Nguyen","0000-0003-3467-8963","22","2848","156","I149704539","AU","16","False","True"
"A5004071949","Ailin Deng","0009-0009-2859-3665","6","1070","33","I165932596","SG","23","False","True"
"A5108371459","Ian J. Goodfellow","","3","3654","4","I1291425158","US","10","False","True"
"A5100658548","Lei Shi","0000-0002-2013-4159","13","3518","31","I115592961","CN","16","False","True"
"A5020136831","Simon Batzner","0000-0002-8826-2712","14","3001","39","I136199984","US","7","False","True"
"A5089503857","Omid Ghorbanzadeh","0000-0002-9664-8770","44","5963","93","I92869138","AT","9","True","True"
"A5100658200","Qilong Wang","","27","10969","116","I162868743","CN","25","False","True"
"A5028794611","Deli Chen","0000-0001-6767-1376","76","22980","539","I165779595","AU","48","True","True"
"A5083996480","Peixiang Zhong","0000-0002-5656-9699","11","1377","26","","","12","False","False"
"A5046941628","Erico Tjoa","0000-0002-1599-1594","5","1861","20","I97018004","US","7","False","True"
"A5078622343","Chen Gao","0000-0002-7561-5646","28","4079","146","I99065089","CN","17","False","True"
"A5051474344","Hao Yuan","0000-0001-5270-2782","12","1081","34","","","24","False","False"
"A5044961635","Minkyung Baek","0000-0003-3414-9404","33","11404","99","I139264467","KR","18","False","True"
"A5100773328","Hongyu Liu","0000-0002-4628-6388","18","2852","107","I183067930","CN","28","False","True"
"A5002497813","Salvatore Cuomo","0000-0003-4128-2588","31","4861","248","I71267560","IT","44","False","True"
"A5083608547","Md Zahangir Alom","0000-0002-2314-1207","22","6493","113","I1313298211","US","19","False","True"
"A5002909072","Michael Haenlein","0000-0001-6175-4947","42","37180","88","I146655781","GB","22","False","True"
"A5100758371","Wei Jin","0000-0002-5054-954X","23","3039","134","I150468666","US","39","False","True"
"A5060938623","Thomas van Klompenburg","","2","1434","2","I913481162","NL","3","False","True"
"A5064468216","Sorin Grigorescu","0000-0003-4763-5540","12","1883","86","I3123573182","RO","65","False","True"
"A5074115949","Mengzhang Li","","4","914","5","I20231570","CN","3","False","True"
"A5095552159","Akshay Kumar Mahto","","1","1447","1","","","1","False","False"
"A5004271128","Ian Goodfellow","0000-0003-3937-2322","64","80048","111","","","17","False","False"
"A5036254733","Filippo Maria Bianchi","0000-0002-7145-3846","27","2887","148","I4210163047","IT","39","False","True"
"A5100322020","Jongmin Kim","0000-0003-2937-3073","15","1219","58","I139264467","KR","32","False","True"
"A5032533885","Yulan Guo","0000-0001-7051-841X","55","14831","297","I157773358","CN","28","True","True"
"A5025931561","Shihao Gu","","7","2697","12","","","24","False","False"
"A5009620223","Zhitao Ying","","5","1440","5","I97018004","US","5","False","True"
"A5102777271","Bryan Lim","0000-0003-2779-4122","11","2019","36","","","17","False","False"
"A5064344312","Giang Nguyen","0000-0002-6769-0195","16","1727","104","I1285420085","VN","26","False","True"
"A5100357128","Hongwei Wang","0000-0001-7474-8271","22","2539","134","I23171815","CN","34","False","True"
"A5100760218","Zhi Zhou","0000-0002-0987-9344","44","10020","312","I145897649","CN","28","True","True"
"A5014334572","Mohammad Mustafa Taye","0009-0000-9248-7423","5","1286","14","","","17","False","False"
"A5046523094","Ajay Shrestha","0000-0001-5595-5953","6","1877","14","I154300980","US","15","False","True"
"A5100418783","Li Liu","0000-0002-2011-2873","53","19804","632","I10660446","CN","34","True","True"
"A5007408828","Giuseppe Carleo","0000-0002-8887-4356","36","9389","171","I5124864","CH","17","True","True"
"A5047979812","Serkan Kıranyaz","0000-0003-1551-3397","51","18545","377","I60342839","QA","26","True","True"
"A5100334520","Xiaoyang Wang","0009-0000-9462-3644","3","574","7","I17056963","JP","15","False","True"
"A5112825787","R. Vinayakumar","","37","8196","136","I1285204247","US","8","True","True"
"A5072241033","Mingzhe Chen","0000-0003-2570-703X","52","17218","395","I137902535","US","34","True","True"
"A5081180571","Laurent Valentin Jospin","0000-0001-5395-1967","6","1029","20","I5124864","CH","35","False","True"
"A5048432969","Jianxin Chang","0000-0002-7886-9238","14","1488","32","I4401726859","","6","False","True"
"A5111625449","Raffaele Cioffi","0009-0001-9019-2995","20","2124","76","","","28","False","False"
"A5100772850","Neha Sharma","0000-0003-3041-9761","6","473","24","","","11","False","False"
"A5035766567","Tong Zhao","0000-0001-7660-1732","20","1680","193","I4210108985","US","29","False","True"
"A5100442619","Ziwei Zhang","0000-0003-2451-843X","25","5064","132","I20231570","CN","10","True","True"
"A5030520880","Chaoyun Zhang","0000-0002-1304-6839","19","3553","73","I4210113369","CN","17","False","True"
"A5080641496","Juexin Wang","0000-0002-2260-4310","24","2475","104","I4210165727","CN","18","False","True"
"A5030371581","Zeeshan Ahmad","0000-0002-8530-864X","13","1667","60","","","18","False","False"
"A5062451681","Zeeshan Ahmed","0000-0002-7065-1699","24","3619","223","I102322142","US","46","False","True"
"A5057207447","Jonathan Schmidt","0000-0001-5685-6404","21","4152","77","I35440088","CH","37","False","True"
"A5100327761","Xiaomeng Zhang","0000-0002-3794-6823","40","9579","255","I133868755","CN","22","True","True"
"A2181301537","Karan Aggarwal","0000-0002-9038-0099","3","283","5","","","1","False","False"
"A2126219569","Shutao Li","0000-0002-0585-9848","2","3242","21","","","1","True","False"
"A5016054994","Chiyuan Zhang","","44","12773","175","I2800556661","CN","16","True","True"
"A2127986948","Jia-Wei Su","0000-0002-5100-8868","2","3128","2","","","1","False","False"
"A5059082898","Mohammad Jamshidi","0000-0002-5312-6497","27","2991","131","I114017466","AU","51","False","True"
"A5088865457","A. Sircar","0000-0002-2450-9050","80","19597","430","I149251103","US","28","True","True"
"A5102057433","Liyu Gong","","10","537","28","I1342911587","US","17","False","True"
"A5010643450","Xiaoyong Yuan","0000-0003-0782-4187","24","3798","128","I205237279","CN","37","False","True"
"A5081829228","David Gunning","0000-0001-5435-796X","11","3638","23","","","45","False","False"
"A2028210747","Steven L. Brunton","0000-0002-6565-5118","13","2333","24","","","1","True","False"
"A2583648180","Guansong Pang","0000-0002-9877-2716","1","2108","6","","","1","False","False"
"A5039480864","Plamen Angelov","0000-0002-5770-934X","57","13609","565","I67415387","GB","34","True","True"
"A5022139510","Jaya Yadav","","3","674","7","","","4","False","False"
"A2128318503","Zi-yang Wang","0000-0001-5294-4773","1","8","44","","","1","True","False"
"A5044596939","Linda Wang﻿","0000-0001-6308-2769","39","9357","1725","I17974374","BR","65","True","True"
"A5057838960","William J. Murdoch","0009-0009-7610-5187","51","10920","207","I4210120150","US","90","False","True"
"A5016194100","Longlong Jing","0000-0001-7115-2341","15","2884","47","I4210145145","DE","11","False","True"
"A5011134823","MA Bashar","0000-0002-0868-8335","29","3773","393","I201969901","BD","56","False","True"
"A5011825081","Lingfei Wu","0000-0002-3660-651X","37","4848","244","","","19","True","False"
"A5000176863","Parvathaneni Naga Srinivasu","0000-0001-9247-9132","26","2674","86","I12649496","MY","14","False","True"
"A5011252820","Jaechang Lim","0000-0001-7342-4283","12","966","42","","","33","False","False"
"A5057407721","Rohit Bharti","0000-0003-1267-7257","3","537","6","I110360157","IN","5","False","True"
"A5102775611","Kaidi Xu","0000-0003-4437-0671","26","2685","122","I72816309","US","10","True","True"
"A5018357954","Guangyin Jin","0000-0002-9837-6836","18","1594","47","I170215575","CN","8","False","True"
"A5063275405","Daniele Grattarola","0000-0001-9506-037X","12","1087","26","","","7","False","False"
"A5010197223","Jia Wu","0000-0003-0599-0296","18","2536","75","I150229711","CN","24","False","True"
"A3091852435","Jonathan Shlomi","","1","18","1","","","1","False","False"
"A5051832390","Chiara Longoni","0000-0002-4945-4957","19","3548","56","","","13","False","False"
"A5066333395","Yuan Zhuang","0000-0003-3377-9658","43","7577","367","I37461747","CN","34","True","True"
"A5102720670","Diogo V. Carvalho","0000-0002-2349-4117","1","1568","1","I182534213","PT","1","False","True"
"A5029628910","Imran Ahmed","0000-0002-7751-286X","38","4966","177","I51216347","GB","22","False","True"
"A5059834078","Joakim Skarding","0000-0001-8509-658X","2","269","6","I114017466","AU","10","False","True"
"A5067763065","Ming‐Hui Huang","0000-0001-8954-3172","34","10338","150","","","47","False","False"
"A5101694397","Yifei Shen","0000-0003-4745-9145","18","1538","179","I143593769","CN","24","False","True"
"A5100412828","Lin Li","0000-0001-9903-8049","6","2062","15","","","12","False","False"
"A5101819284","Yifan Feng","0000-0003-0878-2986","12","3311","53","I99065089","CN","10","False","True"
"A5000476792","Ella Glikson","0000-0001-5653-1861","12","2378","29","I13955877","IL","13","False","True"
"A5030760311","Siddharth Sharma","0000-0003-0134-2988","9","1502","57","I74885063","IN","20","False","True"
"A5045024616","Zhiyong Cui","0000-0002-5780-4312","27","4098","154","I82880672","CN","24","False","True"
"A5077867821","Jason K. Eshraghian","0000-0002-5832-4054","25","2543","184","I185103710","US","10","True","True"
"A5034049110","George Barbastathis","","48","10598","569","I4210167254","SG","42","True","True"
"A5102003972","Zhihao Wang","0000-0002-7610-3837","4","1806","11","","","10","False","False"
"A5059480732","Milad Nasr","","19","3894","66","I1291425158","US","10","False","True"
"A5034657358","Andreas Holzinger","0000-0002-6786-5194","77","24899","810","I202276237","AT","39","True","True"
"A5060017621","Shuai Zhao","0000-0001-7441-5434","24","2604","115","I192868223","CN","19","False","True"
"A5102796459","Mikhail Belkin","0009-0005-8633-3926","36","22501","231","I36258959","US","32","False","True"
"A5100622590","Cen Chen","0000-0003-1389-0148","33","4359","300","I125839683","CN","17","True","True"
"A5006145895","Sebastian Raisch","0000-0001-9980-214X","26","10836","125","I114457229","CH","22","False","True"
"A5100617917","Qiang Huang","0000-0003-0046-0923","7","423","28","","","22","False","False"
"A5089208747","Giovanni Briganti","0000-0002-4038-3363","17","1641","112","I130929987","BE","8","True","True"
"A5025675252","Tianyu Gu","0000-0001-5134-3896","15","2795","35","I116036724","CN","14","False","True"
"A5028965727","Shaohua Fan","0000-0002-1224-4243","9","1035","24","I139759216","CN","27","False","True"
"A5030780461","Feiyue Sun","0009-0000-7372-0744","7","424","30","","","23","False","False"
"A5100751720","Mengqi Zhang","0000-0001-6831-0740","15","1257","69","I139660479","CN","10","False","True"
"A5033623723","Sunae So","0000-0001-8606-2234","25","3018","60","I197347611","KR","104","False","True"
"A5100411469","Xiao Wang","0000-0002-4444-7811","30","5792","182","I139759216","CN","26","False","True"
"A5100410908","Chen Ma","0000-0001-7933-9813","20","2702","160","I168719708","HK","26","False","True"
"A5047161373","J. F. Torres","0000-0001-7371-4352","15","1730","43","","","24","False","False"
"A5086788300","Yuji Roh","0000-0001-8110-5397","9","1153","21","","","12","False","False"
"A5091474691","Mark Eisen","0000-0002-5877-7950","17","1565","92","I2802946424","US","64","False","True"
"A5013635040","Senthilkumar Mohan","0000-0002-8114-3147","31","4432","100","I134900695","IN","45","False","True"
"A5026622910","Wenhan Wang","0000-0001-7178-8286","33","3867","212","I154099455","CN","28","False","True"
"A5051203366","Emma Strubell","0000-0003-2798-0726","23","4351","123","I74973139","US","14","False","True"
"A5103004802","Jianan Zhao","0000-0002-9743-7588","11","674","34","","","10","False","False"
"A5034184867","Marta Garnelo","","15","2284","37","","","9","False","False"
"A5112612774","Yayin Xu","","2","293","2","I47720641","CN","1","False","True"
"A5102994559","Maosen Li","0000-0003-2584-4026","14","2533","38","I4210160618","GB","8","False","True"
"A5017768318","Xieling Chen","0000-0003-3417-7421","30","3974","89","I37987034","CN","11","False","True"
"A5003718647","Zhiwei Guo","0000-0001-8868-6913","40","4591","207","I145581781","CN","27","False","True"
"A5047801011","Ashkan Entezari","","9","527","12","","","8","False","False"
"A5056183845","Zezhi Shao","0000-0002-0815-2768","11","1344","31","I19820366","CN","5","False","True"
"A5003185028","Sebastian J. Vollmer","0000-0003-2831-1401","24","4705","107","I153267046","DE","14","False","True"
"A5040468715","Cynthia Rudin","0000-0003-4283-2780","53","20608","392","I170897317","US","23","True","True"
"A5071123678","Jiong Zhu","0000-0002-6145-3295","10","1084","68","I19820366","CN","21","False","True"
"A323026139","Eyke Hüllermeier","0000-0002-9944-4108","2","4","62","","","1","True","False"
"A5073472514","Shahadat Uddin","0000-0003-0091-6919","37","7212","196","I129604602","AU","17","True","True"
"A5113468095","Donald Heath","","7","1293","17","I64185308","US","13","False","True"
"A5112733571","Lili Li","","8","1131","19","I4210093674","CN","6","False","True"
"A5055284175","Shuiguang Deng","0000-0001-5015-6095","47","8864","440","I109935558","CN","35","True","True"
"A5100363470","Xiaofei Wang","0000-0002-7223-1030","43","10396","524","I162868743","CN","27","True","True"
"A5047545398","Lei Deng","0000-0002-5172-9411","40","9234","286","I169572211","CN","25","True","True"
"A5101503948","Qian Zhang","0000-0001-9977-8418","17","1528","112","I114017466","AU","25","False","True"
"A5059445519","Nadia Burkart","0000-0003-4700-057X","5","920","15","","","7","False","False"
"A5063733770","Zaixi Zhang","0000-0002-0380-6558","13","1082","69","I20089843","US","10","False","True"
"A5047070038","Martin G. Schultz","0000-0003-3455-774X","75","39218","487","I124055696","DK","58","False","True"
"A5030864457","Francisco Javier Díaz Pernas","0000-0002-5625-9607","17","1993","170","I108103353","ES","33","False","True"
"A5065781444","Quentin Cappart","0000-0002-8742-0774","11","665","62","","","11","False","False"
"A5101969766","Jinxian Wang","0000-0002-0432-2811","5","455","12","I24943067","CN","12","False","True"
"A5045314117","Thomas Schnake","","5","338","12","I4210148503","DE","7","False","True"
"A2328974323","Tianxiang Zhao","0000-0001-8197-2423","2","305","12","","","1","True","False"
"A5038504786","Peng Jiang","0000-0003-2642-1949","10","1107","55","I114539943","CN","32","False","True"
"A5058613643","Mojtaba Nabipour","0000-0001-7154-9445","11","1369","17","I125749732","CA","8","False","True"
"A5051609871","Firuz Kamalov","0000-0003-3946-0920","24","3494","157","I186129607","AE","15","True","True"
"A5101433884","Wenguan Wang","0000-0002-0802-9567","71","18525","256","I168879160","CN","14","True","True"
"A5089247128","Eirini Ntoutsi","0000-0001-5729-1003","17","2141","141","I40527276","DE","26","False","True"
"A5011988336","Jenni A. M. Sidey-Gibbons","","3","1181","4","I241749","GB","2","False","True"
"A5069506165","Fernando Gama","0000-0001-6117-8193","18","1757","101","I74775410","US","19","False","True"
"A5079052203","Khaled B. Letaief","0000-0003-2519-6401","91","43167","1138","I200769079","HK","37","True","True"
"A5114860377","Ziqi Liu","0000-0002-4112-3504","9","623","58","I150229711","CN","14","False","True"
"A5021767359","Indrajeet Kumar","0000-0003-2814-2900","16","1038","135","I238035932","IN","12","True","True"
"A5100683044","Jing Li","0000-0002-3262-3734","21","2678","76","I154099455","CN","38","False","True"
"A5067747151","Samir S. Yadav","0000-0002-8880-9685","11","1309","22","","","6","False","False"
"A5019785137","Lei Ma","0000-0002-8331-7200","29","5435","128","I4210102006","UZ","22","False","True"
"A5078405776","Qingbiao Li","0000-0003-2761-1218","14","1224","58","I161346416","CN","24","False","True"
"A5076641949","John V. Pavlik","0000-0002-9899-0940","22","3709","132","","","46","False","False"
"A5101811842","Ming Jin","0000-0002-6833-4811","15","1620","110","I11701301","AU","27","False","True"
"A5078188012","Vadim Borisov","0000-0002-4889-9989","14","1211","120","","","60","False","False"
"A5031859303","Tianwen Chen","0000-0002-3504-4682","3","296","4","I3133055985","CN","6","False","True"
"A5053226287","Wai Weng Lo","0000-0003-3458-4043","9","853","21","","","7","False","False"
"A5041609304","Zhiqiang Pan","0000-0001-5484-1743","10","728","54","I170215575","CN","23","False","True"
"A1989810000","Hao Yuan","0000-0001-5100-3963","4","167","108","","","1","True","False"
"A5014868724","Xiaocheng Yang","0000-0001-8511-6122","13","738","43","","","30","False","False"
"A5090591269","Wen Song","0000-0001-7624-1861","36","4836","300","I4210096112","NL","31","False","True"
"A5044141636","Terrence J. Sejnowski","0000-0002-0622-7391","153","112898","1001","I1307098950","US","57","True","True"
"A5087618571","Naomi Haefner","0000-0002-5450-0639","5","908","17","I202963720","CH","12","False","True"
"A5100756528","Weiwei Jiang","0000-0003-0953-5047","32","4521","199","I109935558","CN","29","False","True"
"A5026903935","Mohamed Amine Ferrag","0000-0002-0632-3172","43","9473","209","I4210097536","DZ","14","True","True"
"A5061391340","Rusul Abduljabbar","0000-0002-5943-8176","9","1523","16","I57093077","AU","7","False","True"
"A5074839324","H.‐G. Purwins","0000-0002-0053-215X","41","6176","212","","","59","False","False"
"A5085437930","Jing Wei","0000-0003-2991-0123","26","4555","143","I125839683","CN","46","False","True"
"A5100661148","Yongxin Wang","0000-0002-0172-9085","23","2132","127","I44445938","CN","24","False","True"
"A5102025770","Weihua Hu","0000-0003-2956-2616","26","8686","91","I11883440","US","30","False","True"
"A5070191910","Chris Huntingford","0000-0002-5941-7770","83","35452","396","I4210092773","GB","33","True","True"
"A5090269018","Abhimanyu S. Ahuja","0000-0003-4333-9189","11","1313","56","I165690674","US","20","False","True"
"A5085743615","Prasanna Tambe","0000-0002-5308-1057","19","3063","78","I36788626","US","34","False","True"
"A5023311296","Guimin Dong","0000-0002-3908-8391","6","222","13","I4210113011","CN","4","False","True"
"A5027410770","Xuan Lin","0000-0001-7216-1821","18","1459","174","I102345215","CN","24","False","True"
"A5087050304","Yufeng Zhang","0000-0002-5882-1675","39","6179","296","I131434179","CN","34","False","True"
"A5052681293","Edward Elson Kosasih","0000-0001-5293-2641","11","904","22","I241749","GB","23","False","True"
"A5100702646","Jun Wu","0000-0002-1512-524X","12","544","43","I150744194","JP","39","False","True"
"A5001967239","Chuhan Wu","0000-0001-5730-8792","41","6091","217","I2250955327","CN","25","False","True"
"A2131257786","Frank Noé","0000-0003-4169-9324","13","1272","25","","","1","True","False"
"A5026633118","Jierun Chen","0000-0002-8665-3365","4","1712","12","I4210142583","US","4","False","True"
"A5086198262","Yoshua Bengio","0000-0002-9322-3515","187","476368","1274","I4210155582","DZ","38","True","True"
"A5033909285","Hwanjun Song","0000-0002-1105-0818","16","1858","88","I157485424","KR","27","False","True"
"A5100764763","Weiyu Wang","0000-0003-0318-5867","5","485","9","I111950717","MO","37","False","True"
"A5073832417","Maria Schuld","0000-0001-8626-168X","32","11262","95","","","14","False","False"
"A1975989226","Nantheera Anantrasirichai","0000-0002-2122-5781","1","1","15","","","1","True","False"
"A5033537521","Huiting Hong","0000-0001-6912-5870","8","553","19","","","9","False","False"
"A2058280834","Feng Yu","0000-0001-5077-8003","15","65832","748","","","1","True","False"
"A5043510754","Ribana Roscher","0000-0003-0094-6210","23","3194","138","","","16","False","False"
"A5087299999","Ajay Agrawal","0000-0002-0911-2194","25","2422","81","","","43","False","False"
"A2015843871","Piyush Jain","0000-0001-7153-442X","2","44","29","","","1","True","False"
"A5048832709","Giorgos Bouritsas","0000-0002-8476-4918","9","652","26","I200777214","GR","10","False","True"
"A5009111131","Hossam H. Sultan","0000-0002-6958-7503","3","693","8","","","6","False","False"
"A5050907956","Pei Wang","0000-0002-5043-8460","14","1371","111","I84392919","US","30","False","True"
"A5101898522","Bowen Deng","0000-0003-4085-381X","19","1788","64","I1294671590","FR","9","False","True"
"A5065405499","Daniel Greene","0000-0002-1294-2973","12","769","25","I66946132","US","60","False","True"
"A5040908419","Fawaz Khaled Alarfaj","0000-0002-6598-6240","17","1164","67","I4626487","SA","14","False","True"
"A5069696234","Sylvain Christin","0000-0001-5876-911X","6","680","21","I1342547582","CA","11","False","True"
"A5056443318","Yi Zhou","0000-0003-0565-9456","20","2563","93","I1306409833","US","38","False","True"
"A2101062761","Zhiwei Liu","0000-0001-5729-8555","4","158","102","","","1","True","False"
"A5103775329","Nakagawa Hiromi","","4","319","17","I74801974","JP","27","False","True"
"A5068372414","Brooke E. Husic","0000-0002-8020-3750","19","3155","44","I20089843","US","10","False","True"
"A5101835733","Shen Zhang","0000-0002-1245-0565","25","3478","217","I144112489","US","36","False","True"
"A5086883629","Saeed Rahmani","0000-0002-2422-7109","4","230","17","","","17","False","False"
"A5011805525","Valentin Kuleto","0000-0002-7811-5436","8","808","32","I4210094697","RS","14","False","True"
"A5085367342","Zezhi Shao","","18","1489","33","I19820366","CN","34","False","True"
"A5072482416","Qiuqiang Kong","0000-0003-2864-0475","32","4160","181","I177725633","HK","10","True","True"
"A5095905079","Alhassan Musa Oruma","","1","1767","5","","","1","False","False"
"A5075013625","Danfeng Hong","0000-0002-3212-9584","64","18874","338","I146655781","GB","29","True","True"
"A5060891981","Gary S. Collins","0000-0002-2772-2316","113","75869","794","I1294671590","FR","101","False","True"
"A5034659013","Amirata Ghorbani","0000-0001-6465-2321","18","3081","42","I4210155268","US","15","False","True"
"A5063338076","Laura von Rueden","0000-0002-7186-9753","6","942","16","","","6","False","False"
"A5043551381","Maximilian Pichler","0000-0003-2252-8327","15","1357","137","I60668342","DE","53","False","True"
"A5091395218","Enyan Dai","0000-0001-9715-0280","15","1100","54","I200769079","HK","9","False","True"
"A5068648875","S.K. Burley","0000-0002-2487-9713","103","52043","1275","I102322142","US","44","True","True"
"A5012455357","Di Jin","0000-0002-7445-9936","41","6234","360","I141649914","CN","38","False","True"
"A2125528888","Kan Yao","0000-0002-9144-2618","2","16","3","","","1","False","False"
"A5023906567","Kaifeng Bi","","6","1317","10","I2250955327","CN","3","False","True"
"A5035708362","Senzhang Wang","0000-0002-3615-4859","40","6216","257","I139660479","CN","22","True","True"
"A5072478706","Alexey Strokach","0000-0002-7735-251X","8","536","14","I185261750","CA","10","False","True"
"A5086883230","Stefano Puntoni","0000-0002-3259-2325","27","4168","123","I36788626","US","25","False","True"
"A5108960412","Arpit Patidar","","2","1921","2","","","1","False","False"
"A5061636179","Olga Tapalova","0000-0001-5381-6466","5","530","45","I4210128045","KZ","14","False","True"
"A5032649151","Shakked Noy","0000-0002-7814-5184","7","1273","29","","","8","False","False"
"A5049389291","Osval A. Montesinos‐López","0000-0002-3973-6547","36","7232","227","I916541031","MX","24","False","True"
"A5071443942","Lianzhe Huang","","6","533","11","I2250653659","CN","6","False","True"
"A5000044735","JoonNyung Heo","0000-0001-6287-6348","14","1226","68","I193775966","KR","13","False","True"
"A2277148930","Brooke E. Husic","0000-0002-8020-3750","3","91","3","","","1","False","False"
"A5027806531","Wu Wang","0000-0003-2633-1441","4","398","5","I78988378","CN","5","False","True"
"A5046781770","Kaixuan Sun","0000-0001-6586-1440","25","2262","94","I139759216","CN","18","False","True"
"A5007075789","Jeremy Howard","0000-0002-3102-9282","38","6007","132","","","56","False","False"
"A5005295101","Huiqiang Xie","0000-0001-9905-6319","11","2200","32","I159948400","CN","8","False","True"
"A5020769173","Justas Dauparas","0000-0002-0030-144X","26","9578","63","I201448701","US","11","False","True"
"A5102761357","Dongsheng Luo","0000-0003-4192-0826","15","1054","88","I19700959","US","21","False","True"
"A5003833025","Filipe de Avila Belbute-Peres","","4","445","6","I74973139","US","5","False","True"
"A5060924942","Emre Neftci","0000-0002-0332-3273","28","5032","150","I171892758","DE","19","False","True"
"A5018677035","Fenglei Fan","0000-0003-3691-5141","18","1577","100","I168719708","HK","17","False","True"
"A5027810976","Jelena Simeunović","0000-0002-4323-9877","3","245","5","","","2","False","False"
"A5055675863","Xiaokang Zhou","0000-0003-3488-4679","54","10912","504","I121296143","CN","16","True","True"
"A5035572370","Martijn van den Ende","0000-0002-0634-7078","20","1138","121","I1294671590","FR","13","False","True"
"A5003491365","Jiaxuan You","0000-0003-1812-7598","23","7738","67","","","10","False","False"
"A5100370856","Yuankai Wu","0000-0003-4435-9413","26","3960","119","I157773358","CN","13","False","True"
"A5103894843","Amir Gholami","","25","3604","77","","","12","False","False"
"A5081396646","Lei Cai","0000-0003-4811-5854","21","1691","157","I119045251","CN","33","False","True"
"A5001362889","Keng‐Boon Ooi","0000-0002-3384-1207","86","23967","257","I197347611","KR","21","True","True"
"A5100434437","Yudong Zhang","0000-0002-4870-1493","105","40418","1462","I103890011","CN","35","True","True"
"A5100453144","Qi Liu","0000-0001-5378-6404","66","20982","1420","I116953780","CN","26","True","True"
"A5100321247","Zhiwei Liu","0000-0003-1525-1067","19","2549","173","I100188998","CN","24","False","True"
"A5019559411","Mohammed J. Zaki","0000-0003-4711-0234","67","24814","468","I165799507","US","45","True","True"
"A5101692272","Kunal Ghosh","0000-0003-0200-5107","22","1969","84","I9927081","FI","56","False","True"
"A5017894668","Ana Isabel Canhoto","0000-0002-1623-611X","26","3413","110","","","24","False","False"
"A5101511925","Bolun Wang","0000-0002-0963-3942","15","2039","30","","","10","False","False"
"A5058581210","Andrius Vabalas","0000-0002-0659-2890","8","1713","17","I133731052","FI","11","False","True"
"A5061905151","Ameya D. Jagtap","0000-0002-8831-1000","16","4550","51","","","9","False","False"
"A5100435616","Chi Chen","0000-0001-8008-7043","60","18016","334","I165745306","CN","38","False","True"
"A5091518548","Chao Huang","0009-0003-3740-4500","42","6944","211","I116953780","CN","23","False","True"
"A5067724437","Veer J. Patel","","2","168","4","I29563240","IN","1","False","True"
"A5061085745","Adnan Mehonić","0000-0002-2476-5038","25","4007","141","I4210094920","GB","14","True","True"
"A5047030842","Meng Shen","0000-0002-1867-0972","38","6453","217","I125839683","CN","26","False","True"
"A1976024860","Fernando Gama","0000-0001-6117-8193","0","0","10","","","1","False","False"
"A5110747363","Protima Khan","","3","235","4","I894293524","BD","4","False","True"
"A5101774657","Qifan Wang","0000-0002-1237-366X","13","1038","62","","","41","False","False"
"A5080093402","Yang Lu","0000-0002-3027-3064","32","9143","195","I105991555","CN","25","False","True"
"A5052623072","Ben Shneiderman","0000-0002-8298-1097","110","53586","769","I66946132","US","226","False","True"
"A5064098467","Swapan Talukdar","0000-0001-6680-9791","41","6592","158","I106542073","IN","9","True","True"
"A5056778863","Grey Nearing","0000-0001-7031-6770","42","7329","262","I1291425158","US","18","True","True"
"A2095964268","Chen Chen","0000-0001-5039-3066","29","5008","3669","","","1","True","False"
"A5108020853","Bach Xuan Tran","0000-0001-7827-8449","26","2863","76","I145311948","US","12","False","True"
"A5035205750","Reza Toorajipour","0000-0003-3682-299X","6","1036","10","I180519160","DK","6","False","True"
"A5057589919","John W. Ayers","0000-0002-8831-8691","44","6795","145","I36258959","US","50","False","True"
"A5102735582","Mohammed Ali Al-Garadi","0000-0001-5204-2980","17","3878","35","","","10","False","False"
"A5032211178","Pramod Bobade","","2","253","2","I11880225","IN","1","False","True"
"A5020244563","Aarush Saxena","","2","276","2","I153954893","IN","3","False","True"
"A5100341722","Zi Ye","0000-0003-1002-0315","18","1012","98","I2801556517","CN","22","False","True"
"A5035810645","Okeke Stephen","0000-0002-7495-6174","6","692","14","I39854758","NZ","6","False","True"
"A2006097212","Peter R. Wiecha","0000-0002-4571-0116","1","392","1","","","1","False","False"
"A5090470209","Yao Ding","0000-0003-2040-2640","23","2325","111","I197869895","CN","40","False","True"
"A5100422985","Zhao Zhang","0000-0001-6680-160X","12","904","74","I19820366","CN","24","False","True"
"A5049472399","Mahla Nikou","","1","274","1","I38476204","IR","1","False","True"
"A5080476856","Gong Cheng","0000-0001-5030-0683","60","19353","242","I17145004","CN","21","True","True"
