"author_id","author_name","orcid","h_index_current","total_citations","total_papers","primary_institution_id","country","years_active","is_prolific","has_institution"
"A5052062229","Rohit Kundu","0000-0001-8665-8898","17","1362","37","I103635307","US","8","False","True"
"A5081628298","Rony Kalfarisi","0000-0003-2090-9898","8","387","17","","","5","False","False"
"A5101737699","Yanan Guo","0000-0001-9372-8276","15","726","52","I170215575","CN","29","False","True"
"A5089063294","Jiaqi Ma","0000-0001-8292-5901","24","2878","134","I146563203","CN","20","False","True"
"A5045904058","Gaofeng Zhi","","2","170","4","I146620803","CN","2","False","True"
"A5029552869","Seunguk Na","0000-0002-4043-4765","13","608","31","","","21","False","False"
"A5043804740","Weixin Ye","","4","171","8","I182707071","CN","4","False","True"
"A5028772801","Amit Sheth","","95","37973","1091","I155781252","US","42","True","True"
"A5015919186","Han Shi Jocelyn Chew","0000-0002-4209-1647","24","1874","95","I165932596","SG","16","False","True"
"A5041900092","Silvio Barra","0000-0003-4042-3000","18","1272","84","I71267560","IT","40","False","True"
"A5019378858","Emin Borandağ","0000-0001-5553-2707","9","287","27","I16748637","TR","10","False","True"
"A2058057436","Xuefeng Bai","0000-0001-6060-9000","0","0","7","","","1","False","False"
"A5083648380","Hemlata Sahu","","4","125","20","","","13","False","False"
"A5028952393","Ju Huyan","","19","1585","44","I4210100281","KR","9","False","True"
"A5038115688","Tehreem Ashfaq","","8","382","15","I4390039375","","6","False","True"
"A5100382430","Wang Li","0000-0003-1330-2019","16","1012","82","I157773358","CN","28","False","True"
"A2273784232","Weixin Lu","0000-0001-5963-4241","2","248","11","","","1","True","False"
"A5005797050","Farzad Samie","0000-0002-3089-7707","11","920","20","I102335020","DE","7","False","True"
"A5079782583","Pranjal Kumar","","4","55","7","","","10","False","False"
"A5018330771","İlkay Çınar","0000-0003-0611-3316","17","1156","43","I137996928","TR","7","False","True"
"A5030351372","Patrizia Ferroni","0000-0002-9877-8712","45","7186","305","I186995768","IT","55","False","True"
"A5073244714","Dewie Tri Wıjayatı","","8","380","31","I148158369","ID","15","False","True"
"A5049956256","Konstantinos Poulinakis","0000-0003-0103-5857","3","106","3","I17389662","CY","2","False","True"
"A5048056611","Clemens Stachl","0000-0002-4498-3067","20","1885","93","I202963720","CH","11","False","True"
"A5064744030","Liang Zhang","0000-0002-9091-3262","11","286","61","","","20","False","False"
"A5081263592","Zhilin Lu","0000-0002-0751-9847","8","424","27","I99065089","CN","8","False","True"
"A5101754024","Lei Lei","0000-0002-9144-0559","35","6058","1270","I154099455","CN","36","True","True"
"A5102890552","Ronghui Zhang","0000-0001-7838-0638","10","506","56","I157773358","CN","8","False","True"
"A5052200911","Davor Kolar","0000-0002-5622-6434","7","257","36","I181343428","HR","15","False","True"
"A5101719493","Jason Edward Lewis","0000-0003-0130-8544","7","264","28","I60158472","CA","26","False","True"
"A5100752851","Chih-Cheng Chen","0000-0001-7054-903X","8","259","18","I4880106","TW","19","False","True"
"A5103115676","Andrew Dickson White","0000-0002-6647-3965","36","5745","293","I27837315","US","160","False","True"
"A5047136256","Heidi Aly","","3","208","6","I145487455","EG","32","False","True"
